7,1442,495,1456,510,0.7349170446395874
8,1447,498,1463,513,0.7919531464576721
10,1460,502,1474,517,0.6124182343482971
11,1466,503,1482,518,0.4846055805683136
17,1502,509,1517,526,0.6892008185386658
22,1515,513,1531,529,0.5239036083221436
23,1518,513,1532,529,0.593844473361969
24,1519,515,1533,529,0.7264049649238586
25,1519,516,1533,530,0.6889201402664185
26,1519,516,1533,530,0.6815670728683472
27,1519,517,1534,532,0.7000840902328491
28,1519,518,1532,531,0.6419758796691895
33,1513,519,1528,534,0.6595861911773682
37,741,654,753,664,0.4599235951900482
41,785,657,798,667,0.7102490067481995
45,831,659,844,670,0.46725451946258545
48,863,662,879,676,0.45716267824172974
68,975,602,998,616,0.4028896689414978
70,1329,586,1351,603,0.5478330850601196
71,1286,593,1312,610,0.7171586155891418
79,1016,645,1038,661,0.6427602767944336
82,1186,687,1202,700,0.45533785223960876
83,1203,687,1220,701,0.5143698453903198
84,1222,689,1238,702,0.4947929084300995
87,850,689,871,707,0.4540539085865021
97,884,610,899,625,0.5788182616233826
98,883,607,898,621,0.4839107394218445
99,881,606,894,620,0.4476335048675537
