4,596,169,607,182,0.6478140950202942
7,586,162,595,174,0.443977415561676
8,582,161,592,172,0.6625005006790161
9,580,160,589,172,0.4860626459121704
30,583,158,591,169,0.45631492137908936
31,583,162,592,171,0.6984611749649048
32,586,164,595,173,0.5872159600257874
35,592,170,602,181,0.6535093784332275
36,594,174,604,183,0.817202091217041
37,595,176,604,183,0.8101779818534851
42,607,183,617,193,0.5675454139709473
43,610,185,620,195,0.5172977447509766
59,654,208,662,219,0.46785029768943787
60,656,211,665,221,0.536802351474762
